,Unnamed: 0,Title,O*NET-SOC Code,Weighted_Labelscore,Sum_Importance_Scores,Absolute_AGI_Importance_Score,Absolute_Non_AGI_Importance_Score,Augmentation_Score,A0,A1,A2,A3,A4,P,Augmentation Rank,Automation Score,Automation Rank,AII,AII Rank,Auto-AII Rank-Diff,Aug-AII Rank-Diff
10,173,Microsystems Engineers,17-2199.06,31.6175,93.78,42.23,51.55,0.4950616556238649,2,0,4,7,4,14,71,0.3371454467903604,707,0.4516129032258064,11,-696,-60
11,839,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012.00,17.9425,79.37,35.18,44.19,0.493556722653159,2,3,3,3,0,9,84,0.2260614841879803,830,0.45,12,-818,-72
12,634,Desktop Publishers,43-9031.00,30.6625,73.78,41.02,32.76,0.4937330995322778,0,2,2,1,5,8,82,0.4155936568175657,606,0.4444444444444444,13,-593,-69
13,911,Industrial Truck and Tractor Operators,53-7051.00,10.565,38.49,16.48,22.01,0.4896789366256086,1,1,0,3,0,4,104,0.2744868797090153,782,0.4444444444444444,14,-768,-90
14,177,Wind Energy Engineers,17-2199.10,22.4775,53.56,29.97,23.59,0.4929053622552248,0,0,0,9,0,7,86,0.4196695294996265,601,0.4375,15,-586,-71
15,450,Pharmacy Technicians,29-2052.00,35.9125,93.38,47.95,45.43,0.499635864226807,1,0,2,7,2,9,21,0.3845844934675519,653,0.4285714285714285,16,-637,-5
16,61,"Insurance Appraisers, Auto Damage",13-1032.00,11.1225,31.0,17.55,13.45,0.4912539021852237,0,0,2,2,0,3,91,0.3587903225806452,683,0.4285714285714285,17,-666,-74
17,828,Power Distributors and Dispatchers,51-8012.00,25.5175,62.36,35.32,27.04,0.491185078179998,0,0,1,7,0,6,92,0.409196600384862,616,0.4285714285714285,18,-598,-74
18,482,Pharmacy Aides,31-9095.00,16.83,58.08,24.72,33.36,0.4889351820230858,2,1,1,3,1,6,110,0.2897727272727272,764,0.4285714285714285,19,-745,-91
19,374,Sound Engineering Technicians,27-4014.00,12.1575,59.27,24.88,34.39,0.4871275508849029,2,1,4,1,0,6,125,0.2051206343850177,847,0.4285714285714285,20,-827,-105
20,443,Nuclear Medicine Technologists,29-2033.00,26.7475,77.42,40.03,37.39,0.4994186046899621,1,0,3,6,0,7,24,0.3454856626194782,691,0.4117647058823529,21,-670,-3
21,456,Medical Records Specialists,29-2072.00,7.5,17.0,10.0,7.0,0.4844290657439446,0,0,0,10,0,7,135,0.4411764705882353,565,0.4117647058823529,22,-543,-113
22,804,Prepress Technicians and Workers,51-5111.00,18.575,63.65,34.63,29.02,0.4961158239068846,1,2,4,1,1,6,60,0.2918303220738413,762,0.4,23,-739,-37
23,618,Couriers and Messengers,43-5021.00,14.1925,64.42,26.21,38.21,0.4826503365208199,3,0,5,1,0,6,139,0.2203120149022042,836,0.4,24,-812,-115
24,685,Solar Photovoltaic Installers,47-2231.00,35.67,110.31,58.81,51.5,0.4978042899531349,2,3,3,7,1,10,47,0.3233614359532227,726,0.3846153846153846,25,-701,-22
25,581,Solar Sales Representatives and Assessors,41-4011.07,25.12,56.21,34.65,21.56,0.4728842184274724,0,1,1,4,2,5,176,0.4468955701832414,555,0.3846153846153846,26,-529,-150
26,718,Avionics Technicians,49-2091.00,10.735,52.2,17.28,34.92,0.4429013079667063,4,1,0,3,0,5,277,0.2056513409961685,846,0.3846153846153846,27,-819,-250
27,859,Computer Numerically Controlled Tool Programmers,51-9162.00,31.055,64.05,35.14,28.91,0.4952694914748126,1,0,0,4,5,6,69,0.484855581576893,501,0.375,28,-473,-41
28,193,Non-Destructive Testing Specialists,17-3029.01,28.2525,71.51,40.67,30.84,0.4905519216972529,1,0,2,7,0,6,98,0.3950846035519507,638,0.375,29,-609,-69
29,876,"Airline Pilots, Copilots, and Flight Engineers",53-2011.00,42.0525,102.81,58.55,44.26,0.4903402976685835,1,1,0,13,0,9,100,0.4090312226437117,617,0.375,30,-587,-70
30,877,Commercial Pilots,53-2012.00,44.365,105.81,60.39,45.42,0.4899917031954635,1,1,0,12,1,9,102,0.4192892921273982,604,0.375,31,-573,-71
31,460,Neurodiagnostic Technologists,29-2099.01,22.4975,74.28,31.61,42.67,0.4889149803288377,3,0,1,6,0,6,111,0.3028742595584275,750,0.375,32,-718,-79
32,858,Computer Numerically Controlled Tool Operators,51-9161.00,47.41,115.1,73.36,41.74,0.4622651100052007,0,3,3,9,2,10,214,0.411902693310165,611,0.3703703703703703,33,-578,-181
33,829,Power Plant Operators,51-8013.00,41.58,102.34,54.06,48.28,0.4984050948665025,1,0,0,17,1,11,39,0.4062927496580027,622,0.3666666666666666,34,-588,-5
34,186,Robotics Technicians,17-3024.01,31.07,81.93,44.01,37.92,0.4972373957227333,2,1,3,5,3,8,51,0.3792261686805809,660,0.3636363636363636,35,-625,-16
35,459,Hearing Aid Specialists,29-2092.00,13.5125,49.16,26.88,22.28,0.4956221394943596,1,1,4,1,0,4,64,0.2748677786818552,781,0.3636363636363636,36,-745,-28
36,125,Penetration Testers,15-1299.04,9.75,22.0,13.0,9.0,0.4834710743801652,1,0,1,11,1,8,137,0.4431818181818182,561,0.3636363636363636,37,-524,-100
37,106,Information Security Analysts,15-1212.00,22.885,44.52,27.93,16.59,0.4675596297614811,0,0,0,5,2,4,197,0.5140386343216532,464,0.3636363636363636,38,-426,-159
38,507,Security Guards,33-9032.00,18.7725,61.69,26.69,35.0,0.4909271754744209,3,1,0,4,1,5,95,0.3043037769492624,748,0.3571428571428571,39,-709,-56
39,919,"Pump Operators, Except Wellhead Pumpers",53-7072.00,20.8325,58.27,33.1,25.17,0.4907396725722081,1,2,1,4,1,5,96,0.3575167324523768,685,0.3571428571428571,40,-645,-56
40,142,Cartographers and Photogrammetrists,17-1021.00,24.425,56.42,32.89,23.53,0.4862388243538831,1,0,3,2,3,5,129,0.4329138603332151,576,0.3571428571428571,41,-535,-88
41,129,Computer Systems Engineers/Architects,15-1299.08,57.4875,104.09,65.58,38.51,0.4661835122562974,0,0,1,7,10,10,201,0.5522864828513786,415,0.3571428571428571,42,-373,-159
42,907,Conveyor Operators and Tenders,53-7011.00,21.3575,86.16,34.1,52.06,0.4782744245552959,5,2,1,4,1,7,157,0.2478818477251625,810,0.35,43,-767,-114
43,115,Network and Computer Systems Administrators,15-1244.00,33.42,71.45,45.15,26.3,0.4651992785649261,0,1,2,6,4,7,207,0.467739678096571,525,0.35,44,-481,-163
44,166,Fuel Cell Engineers,17-2141.01,44.09,94.2,58.59,35.61,0.4702444318227921,1,0,2,12,2,9,184,0.4680467091295117,524,0.3461538461538461,45,-479,-139
45,871,Aircraft Cargo Handling Supervisors,53-1041.00,10.4025,26.99,13.87,13.12,0.4996139115924125,1,0,0,3,0,2,22,0.3854205261207855,652,0.3333333333333333,46,-606,24
46,444,Radiologic Technologists and Technicians,29-2034.00,43.41,126.32,66.3,60.02,0.4987642089152231,3,2,4,9,2,10,34,0.3436510449651678,695,0.3333333333333333,47,-648,13
47,457,"Opticians, Dispensing",29-2081.00,28.34,93.63,49.33,44.3,0.4985569681137456,3,3,4,2,2,7,36,0.3026807647121649,751,0.3333333333333333,48,-703,12
48,235,Geographers,19-3092.00,23.97,46.45,26.84,19.61,0.4878863460716236,1,0,1,1,5,4,118,0.5160387513455328,460,0.3333333333333333,49,-411,-69
49,763,Geothermal Technicians,49-9099.01,23.425,91.11,38.26,52.85,0.4871782148631856,6,2,4,2,2,8,124,0.2571067939852925,800,0.3333333333333333,50,-750,-74
50,214,Atmospheric and Space Scientists,19-2021.00,52.465,101.63,61.37,40.26,0.4784273935946115,1,0,2,6,9,9,155,0.516235363573748,459,0.3333333333333333,51,-408,-104
51,416,Neurologists,29-1217.00,44.4875,105.07,63.95,41.12,0.4763938934635834,1,1,2,11,1,8,165,0.4234082040544398,593,0.3333333333333333,52,-541,-113
52,155,Radio Frequency Identification Device Specialists,17-2072.01,39.2825,79.07,48.74,30.33,0.4728947071550711,1,0,4,2,7,7,175,0.4968066270393322,478,0.3333333333333333,53,-425,-122
53,114,Data Warehousing Specialists,15-1243.01,37.205,69.11,45.18,23.93,0.4527277703089036,0,0,1,6,5,6,242,0.5383446679207061,436,0.3333333333333333,54,-382,-188
54,693,Energy Auditors,47-4011.01,37.365,83.27,55.02,28.25,0.4483239133964702,0,0,7,4,3,7,259,0.4487210279812658,552,0.3333333333333333,55,-497,-204
55,481,Medical Transcriptionists,31-9094.00,32.995,68.39,45.5,22.89,0.445350534137779,0,0,1,9,0,5,269,0.4824535750840766,505,0.3333333333333333,56,-449,-213
56,175,Robotics Engineers,17-2199.08,46.205,87.13,59.16,27.97,0.4359284359345478,0,0,0,14,2,8,295,0.530299552392976,444,0.3333333333333333,57,-387,-238
57,86,Online Merchants,13-1199.06,80.5575,134.42,90.46,43.96,0.4401659874787923,0,0,3,4,16,11,286,0.5992969796161286,347,0.3235294117647059,58,-289,-228
58,411,Cardiologists,29-1212.00,9.5,25.0,13.0,12.0,0.4992,4,0,1,12,0,8,30,0.38,658,0.32,59,-599,29
59,591,"Switchboard Operators, Including Answering Service",43-2011.00,41.815,81.12,49.98,31.14,0.4730303123139947,1,1,2,1,8,6,174,0.5154709072978303,463,0.3157894736842105,60,-403,-114
60,478,Dental Assistants,31-9091.00,13.185,68.9,26.25,42.65,0.4716717819519256,5,1,4,1,0,5,179,0.1913642960812772,860,0.3125,61,-799,-118
61,375,Lighting Technicians,27-4015.00,3.0,16.0,5.0,11.0,0.4296875,6,0,3,2,0,5,311,0.1875,861,0.3125,62,-799,-249
62,245,"Geological Technicians, Except Hydrologic Technicians",19-4043.00,36.885,89.11,51.91,37.2,0.4863748132837601,3,0,6,8,3,9,128,0.4139266075636853,608,0.3103448275862069,63,-545,-65
63,902,Traffic Technicians,53-6041.00,27.27,87.26,41.58,45.68,0.4988961570189257,5,1,3,6,1,7,32,0.3125143250057299,735,0.3043478260869565,64,-671,32
64,124,Document Management Specialists,15-1299.03,51.35,88.16,60.85,27.31,0.4276309356276823,0,0,2,6,8,7,316,0.5824637023593466,369,0.3043478260869565,65,-304,-251
65,893,Subway and Streetcar Operators,53-4041.00,14.985,45.64,22.76,22.88,0.4999965434628817,2,1,0,4,0,3,3,0.3283304119193689,719,0.3,66,-653,63
66,373,Broadcast Technicians,27-4012.00,43.8025,105.93,66.22,39.71,0.4686850649525701,2,2,5,7,3,8,190,0.4135042008873785,609,0.2962962962962963,67,-542,-123
67,857,Photographic Process Workers and Processing Machine Operators,51-9151.00,42.4725,107.96,67.71000000000001,40.25,0.467652157613025,2,3,5,7,2,8,196,0.3934095961467209,640,0.2962962962962963,68,-572,-128
68,797,Tool and Die Makers,51-4111.00,24.3125,67.84,40.61,27.23,0.480550405435097,2,2,3,4,1,5,147,0.3583800117924528,684,0.2941176470588235,69,-615,-78
69,850,Dental Laboratory Technicians,51-9081.00,12.0525,75.72,26.2,49.52,0.4525751587367363,6,3,1,2,0,5,243,0.1591719492868462,875,0.2941176470588235,70,-805,-173
70,624,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053.00,14.33,59.04,28.68,30.36,0.4995951483905082,3,3,2,1,1,4,23,0.2427168021680217,817,0.2857142857142857,71,-746,48
71,376,Photographers,27-4021.00,38.3475,111.22,62.75,48.47,0.4917574680786933,4,4,5,2,5,8,89,0.3447896061859377,693,0.2857142857142857,72,-621,-17
72,253,Remote Sensing Technicians,19-4099.03,34.46,70.21,42.44,27.77,0.478171078154634,1,1,4,1,8,6,158,0.4908132744623273,492,0.2857142857142857,73,-419,-85
73,592,Telephone Operators,43-2021.00,29.1975,57.37,36.28,21.09,0.464947753891459,1,0,1,5,3,4,209,0.5089332403695311,468,0.2857142857142857,74,-394,-135
74,615,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,52.31,89.44,57.96,31.48,0.4561729353144671,1,0,1,4,9,6,235,0.584861359570662,367,0.2857142857142857,75,-292,-160
75,679,Solar Thermal Installers and Technicians,47-2152.04,13.7075,88.16,29.54,58.62,0.4455979023455126,8,2,4,1,0,6,267,0.1554843466424682,879,0.2857142857142857,76,-803,-191
76,852,Ophthalmic Laboratory Technicians,51-9083.00,19.39,79.51,35.58,43.93,0.494485584980234,5,3,2,2,1,5,77,0.2438686957615394,816,0.2777777777777778,77,-739,0
77,231,Clinical Neuropsychologists,19-3039.03,35.815,78.99,56.53,22.46,0.4069813475133689,0,0,7,5,1,5,344,0.4534118242815546,546,0.2777777777777778,78,-468,-266
78,901,Aircraft Service Attendants,53-6032.00,2.75,18.0,5.0,13.0,0.4012345679012346,8,2,0,3,0,5,354,0.1527777777777778,881,0.2777777777777778,79,-802,-275
79,152,Computer Hardware Engineers,17-2061.00,38.1825,65.17,47.08,18.09,0.4010602079913328,0,0,1,8,4,5,355,0.5858907472763542,365,0.2777777777777778,80,-285,-275
80,382,Orthodontists,29-1023.00,22.7775,52.8,33.55,19.25,0.4633246527777778,1,1,0,6,0,3,213,0.4313920454545454,578,0.2727272727272727,81,-497,-132
81,510,Transportation Security Screeners,33-9093.00,45.81,112.0,63.72,48.28,0.4904977040816326,4,1,0,14,0,7,99,0.4090178571428571,618,0.2692307692307692,82,-536,-17
82,111,Telecommunications Engineering Specialists,15-1241.01,52.9675,100.52,66.48,34.04,0.4479253049284983,2,0,2,10,5,7,261,0.5269349383207322,448,0.2692307692307692,83,-365,-178
83,108,Computer Network Support Specialists,15-1231.00,53.3025,98.73,67.51,31.22,0.4324468403951494,1,0,4,7,7,7,304,0.5398814949863263,434,0.2692307692307692,84,-350,-220
84,729,Automotive Service Technicians and Mechanics,49-3023.00,30.385,114.94,61.22,53.72,0.497871125080534,7,5,5,5,0,8,46,0.2643553158169479,788,0.2666666666666666,85,-703,39
85,425,Physical Medicine and Rehabilitation Physicians,29-1229.04,24.4825,65.11,35.56,29.55,0.4957398630782574,3,0,2,6,0,4,63,0.3760175088312087,662,0.2666666666666666,86,-576,23
86,480,Medical Equipment Preparers,31-9093.00,25.3,67.03999999999999,40.89,26.15,0.4758288696663836,2,2,2,4,1,4,166,0.3773866348448688,661,0.2666666666666666,87,-574,-79
87,630,Medical Secretaries and Administrative Assistants,43-6013.00,27.5525,65.31,47.19,18.12,0.400939457885283,0,2,3,6,0,4,356,0.4218726075639259,595,0.2666666666666666,88,-507,-268
88,837,Biofuels Processing Technicians,51-8099.01,39.6625,82.02,55.82,26.2,0.4347920446425868,1,0,2,11,0,5,297,0.4835710802243356,504,0.2631578947368421,89,-415,-208
89,170,Petroleum Engineers,17-2171.00,48.1625,86.13,62.9,23.23,0.3939317237979645,0,0,1,14,2,6,365,0.5591837919424126,401,0.2608695652173913,90,-311,-275
90,172,Mechatronics Engineers,17-2199.05,49.9175,82.87,61.8,21.07,0.3792174632139686,0,1,1,8,7,6,382,0.6023591166887896,344,0.2608695652173913,91,-253,-291
91,765,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011.00,34.855,111.48,53.7,57.78,0.4993302751549463,7,2,1,10,0,7,25,0.3126569788302834,734,0.2592592592592592,92,-642,67
92,557,Shampooers,39-5093.00,5.755000000000001,18.24,9.31,8.93,0.4997829861111112,1,1,0,0,1,1,16,0.315515350877193,732,0.25,93,-639,77
93,479,Medical Assistants,31-9092.00,28.8475,88.16,47.67,40.49,0.4966835326217633,4,2,3,5,1,5,56,0.327217558983666,722,0.25,94,-628,38
94,388,Anesthesiologist Assistants,29-1071.01,31.105,70.14,43.27,26.87,0.472664553169924,2,0,2,7,1,4,177,0.4434702024522384,559,0.25,95,-464,-82
95,406,Nurse Anesthetists,29-1151.00,47.605,107.38,66.55,40.83,0.471314321043305,3,1,1,12,1,6,182,0.4433320916371764,560,0.25,96,-464,-86
96,819,Fabric and Apparel Patternmakers,51-6092.00,26.855,68.74,42.93,25.81,0.4689859509493336,2,0,7,1,2,4,189,0.3906750072737853,644,0.25,97,-547,-92
97,248,Nuclear Monitoring Technicians,19-4051.02,31.255,68.45,43.05,25.4,0.4667560577773202,2,0,1,9,0,4,199,0.4566106647187728,541,0.25,98,-443,-101
98,833,Water and Wastewater Treatment Plant and System Operators,51-8031.00,13.6175,35.24,22.38,12.86,0.4635101480234127,1,1,1,3,0,2,212,0.386421679909194,651,0.25,99,-552,-113
99,434,Orthoptists,29-1299.02,32.9825,68.46,45.89,22.57,0.4419832619963812,1,0,3,6,2,4,280,0.4817776803973124,506,0.25,100,-406,-180
100,860,Adhesive Bonding Machine Operators and Tenders,51-9191.00,29.0625,67.68,46.05,21.63,0.4349060503747298,1,2,2,6,1,4,296,0.4294104609929077,585,0.25,101,-484,-195
101,856,Semiconductor Processing Technicians,51-9141.00,41.4175,83.49,58.03,25.46,0.4239084204770846,1,1,1,11,1,5,322,0.4960773745358725,481,0.25,102,-379,-220
102,842,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023.00,35.4525,86.85,61.13,25.72,0.4168844635484455,1,5,3,3,3,5,332,0.4082037996545768,620,0.25,103,-517,-229
103,145,Aerospace Engineers,17-2011.00,28.265,51.68,36.59,15.09,0.4134629842852897,0,0,1,9,2,4,336,0.5469233746130031,425,0.25,104,-321,-232
104,126,Information Security Engineers,15-1299.05,45.3175,80.14,59.11,21.03,0.38710746958981,0,0,0,14,1,5,371,0.565479161467432,391,0.25,105,-286,-266
105,151,Water/Wastewater Engineers,17-2051.02,61.0525,105.0,78.05,26.95,0.3815777777777778,0,0,1,16,4,7,377,0.5814523809523809,371,0.25,106,-265,-271
106,506,Gambling Surveillance Officers and Gambling Investigators,33-9031.00,20.6175,36.86,27.47,9.39,0.3797026127810086,0,0,1,4,1,2,380,0.5593461747151384,399,0.25,107,-292,-273
107,127,Digital Forensics Analysts,15-1299.06,11.75,20.0,15.0,5.0,0.375,0,0,0,13,2,5,387,0.5875,362,0.25,108,-254,-279
108,620,"Dispatchers, Except Police, Fire, and Ambulance",43-5032.00,28.43,52.27,39.39,12.88,0.3713871211234189,0,0,2,6,1,3,396,0.5439066386072317,428,0.25,109,-319,-287
109,508,Crossing Guards and Flaggers,33-9091.00,6.7025,51.43,11.29,40.14,0.3426638239676007,6,1,0,2,0,3,431,0.1303227688119774,886,0.25,110,-776,-321
110,404,Critical Care Nurses,29-1141.03,51.815,121.88,83.68,38.2,0.4303780752889125,2,3,5,12,0,7,308,0.4251312766655727,592,0.2413793103448276,111,-481,-197
111,123,Geographic Information Systems Technologists and Technicians,15-1299.02,61.2925,102.65,76.35,26.3,0.3811332850432843,0,0,4,7,11,7,378,0.5971018022406234,350,0.2413793103448276,112,-238,-266
112,490,First-Line Supervisors of Security Workers,33-1091.00,51.2425,93.46,71.27,22.19,0.3621116549859184,0,0,2,14,0,5,404,0.5482826877808689,422,0.238095238095238,113,-309,-291
113,645,Agricultural Equipment Operators,45-2091.00,22.855,70.59,37.14,33.45,0.4986337305018288,4,2,1,6,0,4,35,0.3237710723898569,725,0.2352941176470588,114,-611,79
114,413,Emergency Medicine Physicians,29-1214.00,38.7525,80.97,51.67,29.3,0.4618360169776094,2,0,0,11,0,4,217,0.4786031863653204,509,0.2352941176470588,115,-394,-102
115,846,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051.00,22.0875,67.98,47.6,20.38,0.4198351608355122,1,6,3,2,1,4,325,0.3249117387466901,724,0.2352941176470588,116,-608,-209
116,128,Blockchain Engineers,15-1299.07,11.25,17.0,13.0,4.0,0.3598615916955018,0,0,1,5,7,4,407,0.6617647058823529,233,0.2352941176470588,117,-116,-290
117,780,Food Cooking Machine Operators and Tenders,51-3093.00,36.4925,74.61,57.22,17.39,0.3575060133540589,0,3,1,8,1,4,412,0.4891100388687843,496,0.2352941176470588,118,-378,-294
118,116,Computer Programmers,15-1251.00,44.755,61.56,48.2,13.36,0.3398492139187281,0,0,1,2,10,4,437,0.7270142949967512,114,0.2352941176470588,119,5,-318
119,421,Radiologists,29-1224.00,41.4075,91.68,58.44,33.24,0.4622234861982949,0,0,3,20,0,7,215,0.4516524869109948,547,0.2333333333333333,120,-427,-95
120,195,Surveying and Mapping Technicians,17-3031.00,41.9625,85.01,57.0,28.01,0.4418531218695516,4,0,7,6,6,7,281,0.4936183978355487,486,0.2333333333333333,121,-365,-160
121,913,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062.00,10.77,49.66,31.4,18.26,0.4649936118160884,2,5,3,0,0,3,208,0.2168747482883608,840,0.2307692307692307,122,-718,-86
122,668,Operating Engineers and Other Construction Equipment Operators,47-2073.00,45.805,106.55,71.48,35.07,0.4416145738942088,3,3,2,11,1,6,282,0.429892069450962,584,0.2307692307692307,123,-461,-159
123,437,Cytotechnologists,29-2011.02,26.7625,57.32,38.55,18.77,0.4404598101085519,1,1,1,6,1,3,285,0.4668963712491277,529,0.2307692307692307,124,-405,-161
124,500,Parking Enforcement Workers,33-3041.00,23.9325,86.44,47.87,38.57,0.4942122950259757,5,4,4,4,0,5,79,0.2768683479870431,780,0.2272727272727272,125,-655,46
125,543,Gambling and Sports Book Writers and Runners,39-3012.00,30.885,78.32,51.53,26.79,0.4501087899515983,2,4,0,7,1,4,252,0.3943437180796731,639,0.2222222222222222,126,-513,-126
126,191,Automotive Engineering Technicians,17-3027.01,32.43,68.39,45.42,22.97,0.4461212529628621,2,1,2,7,2,4,264,0.4741921333528293,517,0.2222222222222222,127,-390,-137
127,402,Acute Care Nurses,29-1141.01,51.4975,117.33,81.41,35.92,0.4248405252034912,2,1,8,9,1,6,321,0.4389116168072957,569,0.2222222222222222,128,-441,-193
128,627,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111.00,38.775,72.49,54.03,18.46,0.3796124613760283,1,1,4,4,4,4,381,0.5349013657056146,438,0.2222222222222222,129,-309,-252
129,168,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151.00,39.8975,67.22,51.93,15.29,0.3514461478210473,0,0,0,13,1,4,419,0.5935361499553704,353,0.2222222222222222,130,-223,-289
130,247,Nuclear Technicians,19-4051.00,42.4575,70.34,56.61,13.73,0.3141875414181042,0,0,0,14,0,4,473,0.603603923798692,339,0.2222222222222222,131,-208,-342
131,87,Security Management Specialists,13-1199.07,46.965,86.29,63.97,22.32,0.3835125662236271,1,0,1,16,0,5,375,0.544269324371306,427,0.217391304347826,132,-295,-243
132,849,Gem and Diamond Workers,51-9071.06,23.425,58.46,29.98,28.48,0.4996708188937431,4,1,1,1,4,3,20,0.400701334245638,633,0.2142857142857142,133,-500,113
133,920,Wellhead Pumpers,53-7073.00,17.13,56.82,24.15,32.67,0.4887579183527373,5,0,1,5,0,3,114,0.3014783526927138,753,0.2142857142857142,134,-619,20
134,185,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024.00,47.65,100.79,65.64,35.15,0.4542437986262333,3,0,6,10,3,6,239,0.4727651552733405,518,0.2142857142857142,135,-383,-104
135,200,Microbiologists,19-1022.00,27.73,55.21,42.21,13.0,0.3600420334458598,0,1,3,6,1,3,406,0.502264082593733,471,0.2142857142857142,136,-335,-270
136,505,Private Detectives and Investigators,33-9021.00,32.85,58.62,46.18,12.44,0.3343587372527299,0,1,1,8,1,3,442,0.560388945752303,395,0.2142857142857142,137,-258,-305
137,835,Gas Plant Operators,51-8092.00,37.52,79.1,53.68,25.42,0.4361793310009412,2,1,1,11,0,4,294,0.4743362831858407,516,0.2105263157894736,138,-378,-156
138,573,Parts Salespersons,41-2022.00,37.32,79.73,60.97,18.76,0.3598615916955018,1,2,6,4,2,4,408,0.4680797692211212,523,0.2105263157894736,139,-384,-269
139,606,File Clerks,43-4071.00,40.505,75.36,59.41,15.95,0.3337094120901906,0,1,7,2,5,4,443,0.5374867303609342,437,0.2105263157894736,140,-297,-303
140,194,Photonics Technicians,17-3029.08,42.5825,86.84,58.02,28.82,0.4434677751466559,3,1,2,10,3,5,276,0.4903558268079226,493,0.2083333333333333,141,-352,-135
141,363,Broadcast Announcers and Radio Disc Jockeys,27-3011.00,51.65,94.25,72.22,22.03,0.3582112813007901,1,2,2,10,4,5,410,0.5480106100795756,423,0.2083333333333333,142,-281,-268
142,372,Audio and Video Technicians,27-4011.00,46.79,97.19,73.31,23.88,0.3706673843257708,1,5,5,6,6,6,397,0.4814281304660973,507,0.2068965517241379,143,-364,-254
143,442,Diagnostic Medical Sonographers,29-2032.00,24.942500000000003,88.66,46.830000000000005,41.83,0.4984097897111001,5,4,3,3,1,4,38,0.2813275434243176,771,0.2,144,-627,106
144,458,Orthotists and Prosthetists,29-2091.00,24.455,63.62,36.09,27.53,0.4909482989073463,3,1,2,4,2,3,94,0.3843917007230431,654,0.2,145,-509,51
145,750,Camera and Photographic Equipment Repairers,49-9061.00,14.675,57.82,33.1,24.72,0.48949727807802,3,4,3,2,0,3,107,0.2538049117952266,802,0.2,146,-656,39
146,793,"Patternmakers, Metal and Plastic",51-4062.00,16.9625,55.49,33.12,22.37,0.4812346148198974,3,3,4,1,1,3,144,0.3056857091367814,745,0.2,147,-598,3
147,385,Optometrists,29-1041.00,19.7775,46.42,27.94,18.48,0.4792345185418118,2,0,1,5,0,2,150,0.4260555794915984,590,0.2,148,-442,-2
148,667,Pile Driver Operators,47-2072.00,5.452500000000001,22.58,8.76,13.82,0.4748913615676883,2,0,1,1,0,1,169,0.2414747564216121,818,0.2,149,-669,-20
149,678,"Plumbers, Pipefitters, and Steamfitters",47-2152.00,23.5975,112.84,41.67,71.17,0.4658266242910787,13,2,5,3,1,6,203,0.20912353775257,843,0.2,150,-693,-53
